Iteration,Discrepancy
1,0.002167204162105918
2,0.002159552648663521
3,0.002152164001017809
4,0.0021444386802613735
5,0.0021367797162383795
6,0.002129876520484686
7,0.002124369377270341
8,0.002120551187545061
9,0.002118195639923215
10,0.002116707619279623
11,0.0021155024878680706
12,0.0021144263446331024
13,0.0021134482230991125
14,0.002112557413056493
15,0.002111783716827631
16,0.002111158799380064
17,0.002110707573592663
18,0.0021104502957314253
19,0.0021104030311107635
20,0.0021105750929564238
21,0.002110973699018359
22,0.0021115990821272135
23,0.0021124507766216993
24,0.0021135234273970127
25,0.002114808652549982
26,0.0021162957418709993
27,0.0021179725881665945
28,0.0021198256872594357
29,0.0021218410693109035
30,0.00212400546297431
31,0.002126305364072323
32,0.0021287277340888977
33,0.002131260931491852
34,0.002133894246071577
35,0.0021366176661103964
36,0.0021394207142293453
37,0.0021422964055091143
38,0.0021452365908771753
39,0.0021482345182448626
40,0.0021512843668460846
41,0.00215438031591475
42,0.002157517010346055
43,0.0021606904920190573
44,0.0021638968028128147
45,0.0021671317517757416
46,0.002170392544940114
47,0.0021736761555075645
48,0.0021769797895103693
49,0.0021803006529808044
50,0.0021836368832737207
51,0.0021869849879294634
52,0.0021903440356254578
53,0.0021937109995633364
54,0.0021970844827592373
55,0.0022004612255841494
56,0.0022038391325622797
57,0.0022072165738791227
58,0.0022105916868895292
59,0.00221396260894835
60,0.002217330504208803
61,0.0022206988651305437
62,0.002224074676632881
63,0.002227463759481907
64,0.002230855403468013
65,0.0022342137526720762
66,0.0022374948021024466
67,0.002240674803033471
68,0.002243760274723172
69,0.00224663526751101
70,0.0022492394782602787
71,0.002251595025882125
72,0.002253662794828415
73,0.002255521947517991
74,0.0022574698086827993
75,0.002259844448417425
76,0.002262695925310254
77,0.0022658270318061113
78,0.002269050572067499
79,0.0022722722496837378
80,0.0022754573728889227
81,0.002278595697134733
82,0.0022816883865743876
83,0.0022847361396998167
84,0.002287742216140032
85,0.002290707780048251
86,0.0022936342284083366
87,0.0022965222597122192
88,0.0022993716411292553
89,0.0023021833039820194
90,0.0023049574811011553
91,0.002307693939656019
92,0.002310393378138542
93,0.002313055796548724
94,0.0023156816605478525
95,0.002318270970135927
96,0.002320823958143592
97,0.002323341090232134
98,0.002325822599232197
99,0.0023282684851437807
100,0.0023306789807975292
