Iteration,Discrepancy
1,0.0021672043949365616
2,0.002159430645406246
3,0.0021519437432289124
4,0.002144103404134512
5,0.0021362709812819958
6,0.002129067201167345
7,0.002123074373230338
8,0.002118631498888135
9,0.0021156822331249714
10,0.002113774884492159
11,0.0021122933831065893
12,0.0021108698565512896
13,0.0021093166433274746
14,0.0021076290868222713
15,0.0021058632992208004
16,0.002104091690853238
17,0.0021023887675255537
18,0.0021008276380598545
19,0.0020994790829718113
20,0.0020984101574867964
21,0.002097683260217309
22,0.0020973538048565388
23,0.0020974683575332165
24,0.0020980630069971085
25,0.002099237870424986
26,0.0021017156541347504
27,0.002104588085785508
28,0.0021078491117805243
29,0.002111483598127961
30,0.0021154724527150393
31,0.0021197889000177383
32,0.002124398946762085
33,0.0021292646415531635
34,0.0021343522239476442
35,0.002139784162864089
36,0.0021459460258483887
37,0.0021521837916225195
38,0.0021583877969533205
39,0.0021645263768732548
40,0.002170599065721035
41,0.00217661471106112
42,0.00218252744525671
43,0.0021882476285099983
44,0.002193738939240575
45,0.002198966918513179
46,0.002203863114118576
47,0.0022085076197981834
48,0.002213088097050786
49,0.0022179195657372475
50,0.0022231966722756624
51,0.00222885818220675
52,0.0022347045596688986
53,0.002240583999082446
54,0.0022464196663349867
55,0.0022521810606122017
56,0.0022578584030270576
57,0.0022634498309344053
58,0.0022689567413181067
59,0.00227438029833138
60,0.0022797216661274433
61,0.0022849810775369406
62,0.0022901587653905153
63,0.0022952542640268803
64,0.0023002675734460354
65,0.0023051989264786243
66,0.0023100487887859344
67,0.0023148159962147474
68,0.0023195012472569942
69,0.0023241047747433186
70,0.002328626811504364
71,0.0023330673575401306
72,0.0023374271113425493
73,0.00234170607291162
74,0.0023459047079086304
75,0.002350023714825511
76,0.002354063792154193
77,0.002358024474233389
78,0.0023619073908776045
79,0.0023657120764255524
80,0.0023694403935223818
81,0.0023730916436761618
82,0.002376667456701398
83,0.00238016783259809
84,0.002383593935519457
85,0.002386946463957429
86,0.0023902254179120064
87,0.0023934326600283384
88,0.0023965679574757814
89,0.0023996331728994846
90,0.0024026280734688044
91,0.0024055540561676025
92,0.002408412052318454
93,0.0024112025275826454
94,0.002413926413282752
95,0.002416584873571992
96,0.0024191788397729397
97,0.002421708544716239
98,0.0024241763167083263
99,0.0024265816900879145
100,0.002428926294669509
